layer,group,name,status,description
ARIA MCP,Fleet and watched shells,fleet_status,Registered; see report for functional coverage,"Digest of the whole watched-shell fleet in ONE call — start here.

    Per shell: status, idle_seconds, awaiting_input (blocked on a human),
    prompt_line, last_line. Shells awaiting input sort first; `awaiting_count`
    says how many. Prefer over list_shells + per-shell snapshots for ""what is my
    fleet doing?"" / ""is anything waiting on me?"". awaiting_only=True filters to
    blocked shells.
    "
ARIA MCP,Fleet and watched shells,list_shells,Registered; see report for functional coverage,"Use when you need the registry/archive rather than current fleet state.

    Returns watched-shell metadata, including stopped history. status accepts
    'active', 'idle', 'stopped', or comma-separated values. For ""what is alive,
    reachable, or waiting now?"" use fleet_status instead."
ARIA MCP,Fleet and watched shells,get_shell,Registered; see report for functional coverage,"Use when you need metadata for one known shell. Accepts a canonical name
    or a unique displayed alias; an ambiguous alias returns the canonical
    matches so you can retry without guessing. Use get_shell_screen for live
    pane contents and get_shell_events for transcript history."
ARIA MCP,Health and infrastructure,aria_health,Registered; see report for functional coverage,"Use before launching work when ARIA may still be booting. This is the
    readiness contract: success means the database, migrations, and required
    background services finished startup. A launchd process merely being alive
    is not equivalent. Use health_services for optional backend reachability."
ARIA MCP,Health and infrastructure,tool_contract_status,Registered; see report for functional coverage,"Use after an MCP deployment/reconnect to identify the exact ARIA tool
    contract Hermes loaded. Returns a human version and SHA-256 of this running
    bridge source; compare the hash with the deployed file when a parameter or
    description appears missing. This does not probe ARIA readiness."
ARIA MCP,Health and infrastructure,operator_snapshot,Registered; see report for functional coverage,"Read-only operator overview: API readiness, selected model/admission,
    coding queue, retrieval switches and provider cooldown. Pass the exact
    client model for routing; omitted means default route, NOT caller identity.
    Sections are concurrent observations, not an atomic snapshot. Unavailable
    is unknown; available only means the probe succeeded, not healthy/idle.
    Never launches inference, wakes a model or changes policy."
ARIA MCP,Model control and inference telemetry,inference_backend,Registered; see report for functional coverage,"Live route and admission queue for a named model.
    Pass the exact client model. No generation or model start. Omit model for default
    routing only. This cannot identify which model answered an earlier turn;
    use inference_traces for recorded requests. No pin/client settings change."
ARIA MCP,Model control and inference telemetry,inference_usage,Registered; see report for functional coverage,"Token totals and prompt-cache reuse over 1–30 days, overall or grouped
    by declared caller (Hermes/Pi) or model. Caller labels are diagnostic, not
    authenticated identities. Historical aggregates are NOT a controlled
    benchmark; use inference_traces for context, latency and per-request rates.

    `cache_hit_rate` is null with `cache_reporting: ""unsupported""` when the
    backend does not report reuse at all (Red's Radiance). That is unmeasured,
    NOT zero reuse — its prefix cache works. ""partial"" means the rate covers
    only the requests that reported."
ARIA MCP,Model control and inference telemetry,inference_traces,Registered; see report for functional coverage,"Content-free recent request timelines: selected model, queue delay,
    context/fresh/cached tokens, prefill/decode rates and MTP acceptance when
    recorded. Missing is unknown, not zero. Compare like contexts/workloads;
    warm-prefix rates are NOT cold-prefill performance. No prompts or replies."
ARIA MCP,Benchmarks,benchmark_status,Registered; see report for functional coverage,"Inspect ARIA/evalstack benchmark records, or bounded metrics for one
    run. Does NOT launch, cancel or rerun anything. External engineering
    benchmarks are not automatically indexed here; an empty list proves
    nothing about their results. No raw logs or launch commands are returned."
